Symbol,Industry,Price,Previous Close,Volume average,Last trade time
"EAGLE PHARMACEUTICALS, INC. (XNAS:EGRX)",Pharmaceuticals,26.05,25.82,206735,7/10/2022 20:02
"VAALCO ENERGY, INC. (XNYS:EGY)",Oil & Gas,5.31,5.78,2485830,7/10/2022 23:57
EHang Holdings Limited (XNAS:EH),Aerospace & Defense,3.98,4.21,302255,7/10/2022 23:55
"ENHABIT, INC. (XNYS:EHAB)",Healthcare Providers & Services,14.23,14.55,598639,7/10/2022 23:00
ENCOMPASS HEALTH CORPORATION (XNYS:EHC),Healthcare Providers & Services,48.44,49.05,691125,7/10/2022 23:00
Western Asset Gl Hi Inc (XNYS:EHI),#FIELD!,6.74,6.86,46983,7/10/2022 23:00
"EHEALTH, INC. (XNAS:EHTH)",Insurance,3.33,3.6,1048975,7/10/2022 23:53
Eagle Point Income (XNYS:EIC),#FIELD!,15.46,15.58,15451,7/10/2022 23:00
EAGLE POINT INCOME COMPANY INC. (XNYS:EICA),Collective Investments,22.5,22.33,1393,7/10/2022 23:00
"EMPLOYERS HOLDINGS, INC. (XNYS:EIG)",Insurance,32.83,33.26,111903,7/10/2022 23:00
"EIGER BIOPHARMACEUTICALS, INC. (XNAS:EIGR)",Biotechnology & Medical Research,6.32,6.54,361312,7/10/2022 20:41
Eaton Vance Muni Bd (XNYS:EIM),#FIELD!,9.78,9.81,194662,8/10/2022 0:00
EDISON INTERNATIONAL (XNYS:EIX),Electrical Utilities & IPPs,58.63,58.65,2242609,7/10/2022 23:59
E-Home Household Service Holdings Limited (XNAS:EJH),Personal & Household Products & Services,1.66,1.68,264120,7/10/2022 23:59
"EKSO BIONICS HOLDINGS, INC. (XNAS:EKSO)",Healthcare Equipment & Supplies,1.59,1.64,27346,7/10/2022 20:00
THE ESTEE LAUDER COMPANIES INC. (XNYS:EL),Personal & Household Products & Services,219.77,229.1,1501543,7/10/2022 23:54
ENVELA CORPORATION (XNYS:ELA),Specialty Retailers,5.12,5.27,45630,7/10/2022 20:10
ELANCO ANIMAL HEALTH INCORPORATED (XNYS:ELAN),Pharmaceuticals,12.28,12.65,8231380,7/10/2022 23:00
ELANCO ANIMAL HEALTH UNT (XNYS:ELAT),#FIELD!,20.3,21,24608,7/10/2022 23:00
Electra Battery Materials Corporation (XNAS:ELBM),Metals & Mining,3.06,3.11,124231,7/10/2022 23:32
"ENTERGY LOUISIANA, LLC (XNYS:ELC)",Electrical Utilities & IPPs,22.93,23.05,13888,7/10/2022 23:00
"ELEDON PHARMACEUTICALS, INC. (XNAS:ELDN)",Biotechnology & Medical Research,2.44,2.59,19309,7/10/2022 20:00
"ELEVATION ONCOLOGY, INC. (XNAS:ELEV)",Biotechnology & Medical Research,1.12,1.17,65853,7/10/2022 20:00
"E.L.F. BEAUTY, INC. (XNYS:ELF)",Specialty Retailers,38.27,38.7,597721,7/10/2022 23:00
ELLOMAY CAPITAL LTD (XNYS:ELLO),Electrical Utilities & IPPs,19.79,19.81,1820,8/10/2022 0:00
"Electromed, Inc. (XNYS:ELMD)",Healthcare Equipment & Supplies,10.32,10.59,17977,7/10/2022 20:10
"ELOXX PHARMACEUTICALS, INC. (XNAS:ELOX)",Biotechnology & Medical Research,0.19,0.21,215543,7/10/2022 22:50
Energy Company of Parana (XNYS:ELP),Electrical Utilities & IPPs,6.13,6.23,491141,7/10/2022 23:26
"EQUITY LIFESTYLE PROPERTIES, INC. (XNYS:ELS)",Residential & Commercial REIT,60.8,62.31,1018413,7/10/2022 23:00
"Electro-Sensors, Inc. (XNAS:ELSE)","Machinery, Equipment & Components",4.45,4.69,22654,7/10/2022 20:00
ELTEK LTD (XNAS:ELTK),Semiconductors & Semiconductor Equipment,3.62,3.81,8703,7/10/2022 20:00
"ELEVANCE HEALTH, INC. (XNYS:ELV)",Healthcare Providers & Services,467.06,477.95,878383,7/10/2022 23:47
"ELEVATE CREDIT, INC. (XNYS:ELVT)",Banking Services,1.08,1.07,152719,7/10/2022 23:08
"ELIEM THERAPEUTICS, INC. (XNAS:ELYM)",Biotechnology & Medical Research,3.17,3.08,19298,7/10/2022 20:00
"ELYS GAME TECHNOLOGY, CORP. (XNAS:ELYS)",Hotels & Entertainment Services,0.45,0.47,93532,7/10/2022 22:52
Smart Share Global Limited (XNAS:EM),"Computers, Phones & Household Electronics",0.82,0.8,34319,7/10/2022 23:46
EMAGIN CORPORATION (XNYS:EMAN),Semiconductors & Semiconductor Equipment,0.72,0.62,172618,8/10/2022 0:00
Embecta Corp. (XNAS:EMBC),Healthcare Equipment & Supplies,27.74,28.98,451776,7/10/2022 20:18
"Embark Technology, Inc. (XNAS:EMBK)",Software & IT Services,6.84,7.6,221011,7/10/2022 23:55
EMCLAIRE FINANCIAL CORP. (XNAS:EMCF),Banking Services,32.83,31.68,6241,7/10/2022 20:00
EMBRACE CHANGE ACQUISITION CORP. (XNAS:EMCG),Holding Companies,10.02,10,,7/10/2022 19:54
Western Asset EM Debt (XNYS:EMD),#FIELD!,8.06,8.27,173777,7/10/2022 23:00
"EMCOR GROUP, INC. (XNYS:EME)",Construction & Engineering,120.28,121.79,318265,7/10/2022 23:00
Templeton Emerging Mkts (XNYS:EMF),#FIELD!,10.7,10.85,33305,7/10/2022 23:00
EMCORE CORPORATION (XNAS:EMKR),Communications & Networking,1.63,1.7,271382,7/10/2022 21:07
EASTERN COMPANY THE (XNAS:EML),"Machinery, Equipment & Components",18.36,18.58,7763,7/10/2022 20:01
FTAC Emerald Acquisition Corp. (XNAS:EMLD),Holding Companies,9.83,9.82,13690,6/10/2022 20:00
FTAC EMERALD ACQUISITION UNT (XNAS:EMLDU),#FIELD!,9.88,9.84,853,7/10/2022 20:00
EASTMAN CHEMICAL COMPANY (XNYS:EMN),Chemicals,72.39,74.83,1520319,7/10/2022 23:00
ClearBridge Engy Mds Opp (XNYS:EMO),#FIELD!,26.31,26.51,50492,7/10/2022 23:00
Entergy Mississippi LLC (XNYS:EMP),Electrical Utilities & IPPs,22.86,23.28,13156,7/10/2022 23:00
EMERSON ELECTRIC CO. (XNYS:EMR),"Machinery, Equipment & Components",77.83,79.47,3026905,7/10/2022 23:56
EMX Royalty Corporation (XNYS:EMX),Metals & Mining,1.8,1.92,143006,8/10/2022 0:00
Enbridge Inc. (XNYS:ENB),Oil & Gas Related Equipment and Services,37.05,37.19,3593021,7/10/2022 23:58
Enbridge Inc. (XNYS:ENBA),Oil & Gas Related Equipment and Services,24,23.97,54880,7/10/2022 23:00
ENERGEM CORP. (XNAS:ENCP),Holding Companies,10.17,10.17,34130,7/10/2022 19:21
ENERGEM UNT (XNAS:ENCPU),#FIELD!,10.31,11.19,859,7/10/2022 20:00
Accretion Acquisition Corp (XNAS:ENER),Holding Companies,9.91,9.91,39402,7/10/2022 20:00
Lyx MSCI Wld Engy TR ETF A EUR (XMIL:ENERW),#FIELD!,414.01,406.36,,7/10/2022 15:55
"ENFUSION, INC (XNYS:ENFN)",Software & IT Services,10.91,11.32,319083,7/10/2022 23:00
ENGLOBAL CORPORATION (XNAS:ENG),Construction & Engineering,1.26,1.34,106310,7/10/2022 22:51
Enel Chile SA (XNYS:ENIC),Electrical Utilities & IPPs,1.39,1.45,540349,7/10/2022 23:00
Entergy New Orleans LLC (XNYS:ENJ),Electrical Utilities & IPPs,23.08,23.2,862,7/10/2022 23:00
ENLINK MIDSTREAM COM UNT (XNYS:ENLC),#FIELD!,9.65,10.02,3090122,7/10/2022 23:00
Enlivex Therapeutics Ltd. (XNAS:ENLV),Biotechnology & Medical Research,4.26,4.46,29639,7/10/2022 21:05
Entergy New Orleans LLC (XNYS:ENO),Electrical Utilities & IPPs,23.3,23.6,5078,7/10/2022 23:00
ENOCHIAN BIOSCIENCES INC. (XNAS:ENOB),Biotechnology & Medical Research,1.65,1.82,52819,7/10/2022 21:52
ENOVIS CORPORATION (XNYS:ENOV),Healthcare Equipment & Supplies,45.93,47.86,537015,7/10/2022 23:00
Executive Network Partnering Corp (XNYS:ENPC),Holding Companies,10,10,290021,7/10/2022 23:00
"ENPHASE ENERGY, INC. (XNAS:ENPH)",Renewable Energy,255.15,257.45,4229360,7/10/2022 23:59
ENERSYS (XNYS:ENS),"Machinery, Equipment & Components",60.17,62.12,219570,7/10/2022 23:00
"ENSYSCE BIOSCIENCES, INC. (XNAS:ENSC)",Biotechnology & Medical Research,0.22,0.23,1519960,7/10/2022 23:50
"THE ENSIGN GROUP, INC. (XNAS:ENSG)",Healthcare Providers & Services,82.5,83.93,299582,7/10/2022 20:01
ENSERVCO CORPORATION (XNYS:ENSV),Oil & Gas Related Equipment and Services,1.54,1.5,175957,7/10/2022 23:57
"ENANTA PHARMACEUTICALS, INC. (XNAS:ENTA)",Biotechnology & Medical Research,48.31,51.37,198178,7/10/2022 20:02
Enterprise 4.0 Technology Acquisition Corp (XNAS:ENTF),Holding Companies,10.14,10.09,42182,7/10/2022 20:00
ENTERPRISE 4 0 TECHNOLOGY UNT (XNAS:ENTFU),#FIELD!,10.15,10.11,6921,5/10/2022 13:59
"ENTEGRIS, INC. (XNAS:ENTG)",Semiconductors & Semiconductor Equipment,82.14,88.19,1529999,7/10/2022 22:34
ENTERA BIO LTD (XNAS:ENTX),Biotechnology & Medical Research,1.04,1.05,85522,7/10/2022 22:36
"ENVESTNET, INC. (XNYS:ENV)",Software & IT Services,44.31,46,331460,7/10/2022 23:00
"ENOVA INTERNATIONAL, INC. (XNYS:ENVA)",Banking Services,30.21,31.28,202674,7/10/2022 23:00
"ENVERIC BIOSCIENCES, INC. (XNAS:ENVB)",Biotechnology & Medical Research,3.99,4.79,92300,7/10/2022 23:39
Enovix Corporation (XNAS:ENVX),"Machinery, Equipment & Components",18.93,19.68,4631186,7/10/2022 23:56
Eaton Vance NY Muni Bd (XNYS:ENX),#FIELD!,8.66,8.59,48895,8/10/2022 0:00
"ENZO BIOCHEM, INC. (XNYS:ENZ)",Healthcare Providers & Services,2.2,2.26,56070,7/10/2022 23:00
Elliott Opportunity II Corp (XNYS:EOCW),Holding Companies,9.86,9.86,289063,7/10/2022 23:00
Allspring Gl Div Oppty (XNYS:EOD),#FIELD!,4.33,4.46,119298,7/10/2022 23:00
"EOG RESOURCES, INC. (XNYS:EOG)",Oil & Gas,127.45,127.53,3529503,7/10/2022 23:59
Eaton Vance Enh Eq Inc (XNYS:EOI),#FIELD!,14.7,14.99,96089,7/10/2022 23:00
"EVOLUS, INC. (XNAS:EOLS)",Pharmaceuticals,8.55,8.95,455649,7/10/2022 20:01
Eaton Vance Enh Eq Inc 2 (XNYS:EOS),#FIELD!,15.64,16.14,147937,7/10/2022 23:00
"EOS ENERGY ENTERPRISES, INC. (XNAS:EOSE)","Machinery, Equipment & Components",1.67,1.8,3251176,7/10/2022 23:51
Eaton Vance Natl Mun Opp (XNYS:EOT),#FIELD!,16.08,16.16,37409,7/10/2022 23:00
EMPIRE PETROLEUM CORPORATION (XNYS:EP),Oil & Gas,14.17,14.06,62354,7/10/2022 20:10
ENERPAC TOOL GROUP CORP. (XNYS:EPAC),"Machinery, Equipment & Components",20.15,20.77,773321,7/10/2022 23:00
"EPAM SYSTEMS, INC. (XNYS:EPAM)",Software & IT Services,340,356.31,351617,7/10/2022 23:58
Edgewell Personal Care Company (XNYS:EPC),Personal & Household Products & Services,38.7,39.23,479663,7/10/2022 23:00
ENTERPRISE PRODUCTS PARTNERS UNT (XNYS:EPD),#FIELD!,24.99,24.91,5063490,7/10/2022 23:59
EPIPHANY TECHNOLOGY ACQUISITION CORP. (XNAS:EPHY),Holding Companies,9.91,9.91,123121,7/10/2022 20:00
EPIPHANY TECHNOLOGY ACQUISITION UNT (XNAS:EPHYU),#FIELD!,9.91,9.89,2931,6/10/2022 16:33
ESSA Pharma Inc. (XNAS:EPIX),Biotechnology & Medical Research,1.66,1.73,104396,7/10/2022 20:04
EVOLUTION PETROLEUM CORPORATION (XNYS:EPM),Oil & Gas,7.89,8.07,336722,7/10/2022 23:15
"Sunrise New Energy Co., Ltd. (XNAS:EPOW)",Professional & Commercial Services,3.47,3.42,304892,7/10/2022 23:35
EPR PROPERTIES (XNYS:EPR),Residential & Commercial REIT,35.8,36.58,764071,7/10/2022 23:18
"ESSENTIAL PROPERTIES REALTY TRUST, INC. (XNYS:EPRT)",Residential & Commercial REIT,19.23,19.72,1038205,7/10/2022 23:00
EPSILON ENERGY LTD. (XNAS:EPSN),Oil & Gas,6.64,6.71,93113,7/10/2022 20:00
EMPOWERMENT & INCLUSION CAPITAL I CORP. (XNYS:EPWR),Holding Companies,9.92,9.9,52408,6/10/2022 23:00
"EQUILLIUM, INC. (XNAS:EQ)",Pharmaceuticals,2.07,2.09,520386,7/10/2022 23:19
"EQUITY BANCSHARES, INC. (XNAS:EQBK)",Banking Services,30.37,30.79,34661,7/10/2022 20:01
Equity Commonwealth (XNYS:EQC),Residential & Commercial REIT,23.95,24.19,884397,7/10/2022 23:00
"EQUITABLE HOLDINGS, INC (XNYS:EQH)",Investment Banking & Investment Services,28.15,28.76,2491675,7/10/2022 23:00
EQ Health Acquisition Corp (XNYS:EQHA),Holding Companies,9.89,9.88,18110,5/10/2022 23:00
"EQUINIX, INC. (XNAS:EQIX)",Residential & Commercial REIT,541.86,557.43,495762,7/10/2022 23:40
Equinor ASA (XNYS:EQNR),Oil & Gas,35.24,35.31,4453613,7/10/2022 23:00
EQONEX Ltd (XNAS:EQOS),Financial Technology (Fintech) & Infrastructure,0.41,0.4,124830,7/10/2022 22:36
EQUITY RESIDENTIAL (XNYS:EQR),Residential & Commercial REIT,62.53,64.45,1645794,7/10/2022 23:50
"EQRx, Inc. (XNAS:EQRX)",Biotechnology & Medical Research,4.84,5.12,3964241,7/10/2022 20:02
Equus Total Return (XNYS:EQS),#FIELD!,1.65,1.83,27944,7/10/2022 23:00
EQT CORPORATION (XNYS:EQT),Oil & Gas,43.17,43.94,11849719,7/10/2022 23:59
Equinox Gold Corp. (XNYS:EQX),Metals & Mining,3.52,3.82,2409764,7/10/2022 23:32
"ERASCA, INC. (XNAS:ERAS)",Biotechnology & Medical Research,7.89,8.45,809299,7/10/2022 20:02
Allspring Multi-Sector (XNYS:ERC),#FIELD!,8.87,8.9,68482,7/10/2022 20:10
EAST RESOURCES ACQUISITION COMPANY (XNAS:ERES),Holding Companies,10.06,10.06,10470,7/10/2022 20:00
EAST RESOURCES ACQUISITION COMPA UNT (XNAS:ERESU),#FIELD!,10.09,10.07,856,6/10/2022 20:00
ENERPLUS CORPORATION (XNYS:ERF),Oil & Gas,16.16,16.15,1757837,7/10/2022 23:20
Allspring Ut & Hi Inc (XNYS:ERH),#FIELD!,10.86,11.15,20311,7/10/2022 20:10
Telefonaktiebolaget LM Ericsson (XNAS:ERIC),Communications & Networking,6.1,6.22,8354721,7/10/2022 23:37
ERIE INDEMNITY COMPANY (XNAS:ERIE),Insurance,229.71,232.77,65953,7/10/2022 20:18
"ENERGY RECOVERY, INC. (XNAS:ERII)","Machinery, Equipment & Components",21.5,22.13,524101,7/10/2022 21:36
Embraer SA (XNYS:ERJ),Aerospace & Defense,9.45,9.84,1483861,7/10/2022 23:00
Ero Copper Corp. (XNYS:ERO),Metals & Mining,12.14,11.7,72186,7/10/2022 23:44
Erytech Pharma SA (XNAS:ERYP),Biotechnology & Medical Research,0.7,0.7,8902,7/10/2022 20:00
Eversource Energy (XNYS:ES),Electrical Utilities & IPPs,74.25,75.49,1637202,7/10/2022 23:02
ESAB CORPORATION (XNYS:ESAB),"Machinery, Equipment & Components",34.3,35.2,409792,7/10/2022 23:00
ESGEN Acquisition Corporation (XNAS:ESAC),Holding Companies,10.15,10.15,50206,7/10/2022 20:00
"ESCALADE, INCORPORATED (XNAS:ESCA)",Leisure Products,10.76,10.99,16401,7/10/2022 20:00
ESCO TECHNOLOGIES INC. (XNYS:ESE),"Machinery, Equipment & Components",75.73,78.11,73279,7/10/2022 23:00
EUROSEAS LTD (XNAS:ESEA),Freight & Logistics Services,20.72,20.96,52652,7/10/2022 22:57
ENSTAR GROUP LIMITED (XNAS:ESGR),Insurance,183.34,181.7,51430,7/10/2022 20:01
ENSTAR GROUP LIMITED (XNAS:ESGRO),Insurance,23.85,24.29,12181,7/10/2022 22:20
ENSTAR GROUP LIMITED (XNAS:ESGRP),Insurance,22.94,23.31,20158,7/10/2022 20:00
ELEMENT SOLUTIONS INC (XNYS:ESI),Chemicals,16.31,17.12,1293547,7/10/2022 23:00
ELBIT SYSTEMS LTD (XNAS:ESLT),Aerospace & Defense,197.61,198.61,21403,7/10/2022 20:03
ESM ACQUISITION CORPORATION (XNYS:ESM),Holding Companies,9.94,9.91,60260,6/10/2022 23:00
"ENGAGESMART, INC. (XNYS:ESMT)",Software & IT Services,21.69,21.83,590583,7/10/2022 23:00
ESSENT GROUP LTD (XNYS:ESNT),Insurance,36.01,37.32,562031,7/10/2022 23:00
ENERGY SERVICES OF AMERICA CORPORATION (XNAS:ESOA),Construction & Engineering,2.73,2.74,33889,7/10/2022 22:45
ESPEY MFG. & ELECTRONICS CORP. (XNYS:ESP),"Machinery, Equipment & Components",13.1,13.27,3260,8/10/2022 0:00
"ESPERION THERAPEUTICS, INC. (XNAS:ESPR)",Pharmaceuticals,7.42,7.04,1006641,7/10/2022 21:51
"ESQUIRE FINANCIAL HOLDINGS, INC. (XNAS:ESQ)",Banking Services,37.19,37.43,22088,7/10/2022 20:01
"EMPIRE STATE REALTY TRUST, INC. (XNYS:ESRT)",Residential & Commercial REIT,6.4,6.59,1097849,7/10/2022 23:00
"ESSEX PROPERTY TRUST, INC. (XNYS:ESS)",Residential & Commercial REIT,221.21,228.69,433741,7/10/2022 23:00
"ESSA Bancorp, Inc. (XNAS:ESSA)",Banking Services,18.38,18.8,23921,7/10/2022 20:00
East Stone Acquisition Corporation (XNAS:ESSC),Holding Companies,10.37,10.39,25498,7/10/2022 20:00
EAST STONE ACQUISITION UNT (XNAS:ESSCU),#FIELD!,10.7,10.37,322,4/10/2022 20:00
"Establishment Labs Holdings, Inc. (XNAS:ESTA)",Healthcare Equipment & Supplies,55.33,57.31,128356,7/10/2022 20:01
Elastic NV (XNYS:ESTC),Software & IT Services,71.95,76.11,1416206,7/10/2022 23:00
"EARTHSTONE ENERGY, INC. (XNYS:ESTE)",Oil & Gas,14.81,15.26,2223514,7/10/2022 23:00
ENERGY TRANSFER UNT (XNYS:ET),#FIELD!,11.54,11.55,21927184,7/10/2022 23:56
Eaton Vance T-M B-W Inc (XNYS:ETB),#FIELD!,13.71,14.24,62428,7/10/2022 23:00
ETHAN ALLEN INTERIORS INC. (XNYS:ETD),Household Goods,22.19,22.57,233888,7/10/2022 23:00
Eaton Vance Tx-Ad Gl Div (XNYS:ETG),#FIELD!,14.8,15.1,194859,7/10/2022 23:00
EnviroMetal Technologies Inc. (XCNQ:ETI),Metals & Mining,0.09,0.09,56660,7/10/2022 13:31
Eaton Vance R-Mgd Eq Inc (XNYS:ETJ),#FIELD!,8.25,8.43,140479,7/10/2022 23:00
EATON CORPORATION PUBLIC LIMITED COMPANY (XNYS:ETN),"Machinery, Equipment & Components",136.83,142.45,1877162,7/10/2022 23:00
"89BIO, INC. (XNAS:ETNB)",Biotechnology & Medical Research,8.24,7.52,2165506,7/10/2022 23:58
Eaton Vance Tx-Ad Gl Opp (XNYS:ETO),#FIELD!,20.55,20.86,55370,7/10/2022 23:00
"ETON PHARMACEUTICALS, INC. (XNAS:ETON)",Pharmaceuticals,2.25,2.25,42712,7/10/2022 20:00
ENTERGY CORPORATION (XNYS:ETR),Electrical Utilities & IPPs,101.23,102.71,1206740,7/10/2022 23:00
Equitrans Midstream Corporation (XNYS:ETRN),Oil & Gas Related Equipment and Services,7.92,8.1,5624409,7/10/2022 23:00
"ETSY, INC. (XNAS:ETSY)",Diversified Retail,110.44,115.11,2706132,7/10/2022 23:56
Eaton Vance T-M B-W Opps (XNYS:ETV),#FIELD!,13.02,13.54,323711,7/10/2022 23:00
Eaton Vance Tx-Mg Gl B-W (XNYS:ETW),#FIELD!,7.82,7.95,248794,7/10/2022 23:00
"E2OPEN PARENT HOLDINGS, INC. (XNYS:ETWO)",Software & IT Services,6.49,6.9,1919637,7/10/2022 23:00
Eaton Vance Mun Inc 2028 (XNYS:ETX),#FIELD!,18.99,18.8,13079,7/10/2022 23:00
Eaton Vance T-M D-E Inc (XNYS:ETY),#FIELD!,10.94,11.35,257996,7/10/2022 23:00
Eucrates Biomedical Acquisition Corp. (XNAS:EUCR),Holding Companies,10.05,10.02,20649,7/10/2022 20:00
EUCRATES BIOMED ACQ UNT (XNAS:EUCRU),#FIELD!,10.02,10.02,7957,5/10/2022 16:29
Euronav NV (XNYS:EURN),Oil & Gas Related Equipment and Services,15.28,15.06,1343855,7/10/2022 23:59
ENVIVA INC. (XNYS:EVA),Paper & Forest Products,61.76,63.13,369840,7/10/2022 23:00
Evaxion Biotech A/S (XNAS:EVAX),Biotechnology & Medical Research,2.85,2.89,1996993,7/10/2022 20:00
"EVERBRIDGE, INC. (XNAS:EVBG)",Software & IT Services,31.64,33.79,666909,7/10/2022 20:07
"EVANS BANCORP, INC. (XNYS:EVBN)",Banking Services,36.28,36.67,14595,8/10/2022 0:00
ENTRAVISION COMMUNICATIONS CORPORATION (XNYS:EVC),Media & Publishing,4.09,4.18,214049,7/10/2022 23:00
EVERCOMMERCE INC. (XNAS:EVCM),Software & IT Services,9.72,10.75,172448,7/10/2022 20:47
"EVERQUOTE, INC. (XNAS:EVER)",Software & IT Services,6.6,6.79,164596,7/10/2022 20:01
"Eve Holding, Inc. (XNYS:EVEX)",Aerospace & Defense,7.64,8.03,138368,7/10/2022 23:00
Eaton Vance Senior Inc (XNYS:EVF),#FIELD!,5.25,5.34,47870,7/10/2022 23:00
Eaton Vance Sht Dur DI (XNYS:EVG),#FIELD!,10.1,10.17,48393,7/10/2022 23:00
EVOGENE LTD (XNAS:EVGN),Biotechnology & Medical Research,0.74,0.75,76384,7/10/2022 20:44
EVGO INC. (XNAS:EVGO),Electrical Utilities & IPPs,7.94,8.17,2231128,7/10/2022 23:52
EVERGREEN CORPORATION (XNAS:EVGR),Holding Companies,10.1,10.09,23451,7/10/2022 20:00
EVERGREEN UNT (XNAS:EVGRU),#FIELD!,10.1,10.1,5,9/23/2022 20:00
"EVOLENT HEALTH, INC. (XNYS:EVH)",Healthcare Equipment & Supplies,34.09,36.67,972077,7/10/2022 23:00
"EVI INDUSTRIES, INC. (XNYS:EVI)","Machinery, Equipment & Components",15.4,16.39,16983,7/10/2022 22:01
"EVER-GLORY INTERNATIONAL GROUP, INC. (XNAS:EVK)",Textiles & Apparel,0.9,0.9,12162,7/10/2022 20:25
"EVELO BIOSCIENCES, INC. (XNAS:EVLO)",Biotechnology & Medical Research,2.25,2.35,213620,7/10/2022 20:01
"EVOLV TECHNOLOGIES HOLDINGS, INC. (XNAS:EVLV)",Communications & Networking,2.17,2.31,416825,7/10/2022 22:00
Eaton Vance CA Muni Bd (XNYS:EVM),#FIELD!,8.39,8.41,85624,7/10/2022 20:10
Eaton Vance Muni Inc Tr (XNYS:EVN),#FIELD!,9.94,9.94,102386,7/10/2022 23:00
Evotec SE (XNAS:EVO),Biotechnology & Medical Research,8.69,9.01,34681,7/10/2022 21:58
EVO ACQUISITION CORP. (XNAS:EVOJ),Holding Companies,9.87,9.87,5704,6/10/2022 20:00
EVO ACQUISITION UNT (XNAS:EVOJU),#FIELD!,9.87,9.88,884,6/10/2022 20:00
"EVOKE PHARMA, INC. (XNAS:EVOK)",Pharmaceuticals,1.94,2.1,15005,7/10/2022 20:00
"EVO PAYMENTS, INC. (XNAS:EVOP)",Professional & Commercial Services,33.56,33.47,928445,7/10/2022 20:01
EVERCORE INC. (XNYS:EVR),Investment Banking & Investment Services,86.28,90,526876,7/10/2022 23:00
"Evergy, Inc. (XNYS:EVRG)",Electrical Utilities & IPPs,57.04,58.03,1187061,7/10/2022 23:00
EVERI HOLDINGS INC. (XNYS:EVRI),Hotels & Entertainment Services,17.54,17.89,549977,7/10/2022 23:49
Eaton Vance Tax Div Inc (XNYS:EVT),#FIELD!,22.08,22.6,111154,7/10/2022 23:00
Evertec Inc (XNYS:EVTC),Professional & Commercial Services,32.22,32.53,435467,7/10/2022 23:00
VERTICAL AEROSPACE LTD. (XNYS:EVTL),Aerospace & Defense,10.32,10.89,706461,7/10/2022 23:29
"ENVIROTECH VEHICLES, INC. (XNAS:EVTV)",Automobiles & Auto Parts,4.1,4.13,66581,7/10/2022 20:00
Eaton Vance Ltd Dur Inc (XNYS:EVV),#FIELD!,9.47,9.46,253119,8/10/2022 0:00
EDWARDS LIFESCIENCES CORPORATION (XNYS:EW),Healthcare Equipment & Supplies,84.23,86.48,2804769,7/10/2022 23:00
"EAST WEST BANCORP, INC. (XNAS:EWBC)",Banking Services,71.06,73.05,746645,7/10/2022 20:18
"EUROPEAN WAX CENTER, INC. (XNAS:EWCZ)",Personal & Household Products & Services,17.11,17.26,433467,7/10/2022 20:01
Edgewise Therapeutics Inc (XNAS:EWTX),Biotechnology & Medical Research,9.96,11.08,466486,7/10/2022 20:51
EXSCIENTIA PLC (XNAS:EXAI),Biotechnology & Medical Research,8.6,8.81,142468,7/10/2022 20:00
EXACT SCIENCES CORPORATION (XNAS:EXAS),Biotechnology & Medical Research,33.82,36.32,2099911,7/10/2022 23:55
EXELON CORPORATION (XNAS:EXC),Electrical Utilities & IPPs,36.96,37.76,8253224,7/10/2022 23:45
Eaton Vance Tx-Mg B-WS (XNYS:EXD),#FIELD!,9.7,9.49,26083,7/10/2022 23:00
"EXELIXIS, INC. (XNAS:EXEL)",Biotechnology & Medical Research,15.4,15.6,2281800,7/10/2022 22:28
"EXPENSIFY, INC. (XNAS:EXFY)",Software & IT Services,14.84,15.52,530257,7/10/2022 20:27
Eaton Vance TxMgdGlDvEIn (XNYS:EXG),#FIELD!,7.36,7.55,648248,7/10/2022 23:00
Endeavour Silver Corp. (XNYS:EXK),Metals & Mining,3.34,3.66,2492728,7/10/2022 23:58
"EXLSERVICE HOLDINGS, INC. (XNAS:EXLS)",Professional & Commercial Services,157.02,160.73,661457,7/10/2022 21:08
Excellon Resources Inc (XNYS:EXN),Metals & Mining,0.36,0.37,57605,8/10/2022 0:00
EAGLE MATERIALS INC. (XNYS:EXP),Construction Materials,110.66,114.05,360406,7/10/2022 23:00
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC (XNAS:EXPD)",Freight & Logistics Services,89.2,90.65,1555378,7/10/2022 23:58
"EXPEDIA GROUP, INC. (XNAS:EXPE)",Hotels & Entertainment Services,93.92,95.61,2585920,7/10/2022 23:42
"EXP WORLD HOLDINGS, INC. (XNAS:EXPI)",Real Estate Operations,12.34,12.87,1109412,7/10/2022 23:59
"EXPONENT, INC. (XNAS:EXPO)",Professional & Commercial Services,88.36,87.5,204601,7/10/2022 20:18
"EXPRESS, INC. (XNYS:EXPR)",Specialty Retailers,1.14,1.19,1706174,7/10/2022 23:01
EXTRA SPACE STORAGE INC. (XNYS:EXR),Residential & Commercial REIT,165.17,172.11,885491,7/10/2022 23:00
EXTERRAN CORPORATION (XNYS:EXTN),Oil & Gas Related Equipment and Services,5.04,5,126046,7/10/2022 23:00
"EXTREME NETWORKS, INC. (XNAS:EXTR)",Communications & Networking,13.7,14.28,988659,7/10/2022 20:03
"NATIONAL VISION HOLDINGS, INC. (XNAS:EYE)",Specialty Retailers,33.62,34.37,765550,7/10/2022 20:32
"EYENOVIA, INC. (XNAS:EYEN)",Pharmaceuticals,2.74,2.68,379461,7/10/2022 23:59
"EYEPOINT PHARMACEUTICALS, INC. (XNAS:EYPT)",Pharmaceuticals,6.16,6.29,147159,7/10/2022 23:09
