Symbol,Industry,Price,Previous Close,Volume average,Last trade time
ARES COMMERCIAL REAL ESTATE CORPORATION (XNYS:ACRE),Residential & Commercial REIT,10.55,10.68,736481,7/10/2022 23:52
Acropolis Infrastructure Acquisition Corp (XNYS:ACRO),Holding Companies,9.75,9.73,322638,7/10/2022 23:00
"ACLARIS THERAPEUTICS, INC. (XNAS:ACRS)",Biotechnology & Medical Research,15.82,16.7,367533,7/10/2022 22:10
"ACELRX PHARMACEUTICALS, INC. (XNAS:ACRX)",Biotechnology & Medical Research,0.2,0.21,1527495,7/10/2022 22:48
Acasti Pharma Inc. (XNAS:ACST),Pharmaceuticals,0.57,0.58,57014,7/10/2022 23:47
"ENACT HOLDINGS, INC. (XNAS:ACT)",Insurance,23.15,23.47,317116,7/10/2022 23:56
ACACIA RESEARCH CORPORATION (XNAS:ACTG),Professional & Commercial Services,3.99,4.09,147588,7/10/2022 21:41
ACME UNITED CORPORATION (XNYS:ACU),Professional & Commercial Services,23.8,24.01,7151,7/10/2022 20:10
Vrts Div Inc & Conv (XNYS:ACV),#FIELD!,18.67,19,41476,7/10/2022 23:00
ACV AUCTIONS INC. (XNAS:ACVA),Software & IT Services,8.58,8.79,1482802,7/10/2022 23:33
"ACURX PHARMACEUTICALS, INC. (XNAS:ACXP)",Biotechnology & Medical Research,3.4,3.2,27102,7/10/2022 20:00
Adagene Inc (XNAS:ADAG),Biotechnology & Medical Research,1.39,1.38,24009,7/10/2022 20:00
Anthemis Digital Acquisitions I Corp (XNAS:ADAL),Holding Companies,10.13,10.09,70904,7/10/2022 20:00
ANTHEMIS DIGITAL ACQUISITIONS I UNT (XNAS:ADALU),#FIELD!,10.13,10.13,300,6/10/2022 19:59
ADAPTIMMUNE THERAPEUTICS PLC (XNAS:ADAP),Biotechnology & Medical Research,1.2,1.12,374761,7/10/2022 23:59
ADOBE INC. (XNAS:ADBE),Software & IT Services,288.77,298.41,5639362,7/10/2022 23:59
AGREE REALTY CORPORATION (XNYS:ADC),Residential & Commercial REIT,64.91,64.28,1073202,7/10/2022 23:00
ADC Therapeutics Ltd (XNYS:ADCT),Biotechnology & Medical Research,4.76,5.01,231662,7/10/2022 23:00
ADEIA INC. (XNAS:ADEA),Software & IT Services,9.36,8.82,868445,7/10/2022 23:55
26 Capital Acquisition Corp (XNAS:ADER),Holding Companies,9.86,9.86,37066,7/10/2022 20:00
"ADVANCED EMISSIONS SOLUTIONS, INC. (XNAS:ADES)",Professional & Commercial Services,2.74,2.91,86852,7/10/2022 22:46
ADIT EDTECH ACQUISITION CORP. (XNYS:ADEX),Holding Companies,9.91,9.9,85328,7/10/2022 23:00
"ANALOG DEVICES, INC. (XNAS:ADI)",Semiconductors & Semiconductor Equipment,144.92,150.97,3326742,7/10/2022 23:15
"ADIAL PHARMACEUTICALS, INC. (XNAS:ADIL)",Biotechnology & Medical Research,0.35,0.36,208981,7/10/2022 21:28
ARCHER-DANIELS-MIDLAND COMPANY (XNYS:ADM),Food & Tobacco,85.44,85.75,2892437,7/10/2022 23:30
"ADMA BIOLOGICS, INC. (XNAS:ADMA)",Pharmaceuticals,2.61,2.62,3516941,7/10/2022 23:41
ADAMIS PHARMACEUTICALS CORPORATION (XNAS:ADMP),Pharmaceuticals,0.13,0.14,1156076,7/10/2022 23:31
"ADVENT TECHNOLOGIES HOLDINGS, INC. (XNAS:ADN)",Renewable Energy,2.54,2.78,1103291,7/10/2022 23:48
ADIENT PUBLIC LIMITED COMPANY (XNYS:ADNT),Automobiles & Auto Parts,29.61,31.1,700121,7/10/2022 23:00
Edoc Acquisition Corp. (XNAS:ADOC),Holding Companies,10.28,10.3,1146,6/10/2022 20:00
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",Software & IT Services,227.12,234.89,1970734,7/10/2022 23:54
